id,n,developer,publisher,release_year,price,rating,review_count,owners,genre_list,tag_list,cat_list
259320,Heli Heroes,Reality Pump,Topware Interactive,2013,3.99,45.6,320,350000,"['Action', 'Casual']","['Action', 'Casual', ""Shoot 'Em Up""]",['Single-player']
259340,Chicken Shoot Gold,ToonTRAXX Studios,Topware Interactive,2003,4.99,56.3,247,150000,"['Action', 'Casual', 'Indie']","['Action', 'Casual', 'Indie']","['Single-player', 'Multi-player']"
259390,Ballpoint Universe - Infinite,Arachnid Games,Arachnid Games,2013,2.79,77.0,627,150000,"['Action', 'Indie']","['Indie', 'Action', ""Shoot 'Em Up""]",['Single-player']
259410,Sneaky Sneaky,Naiad Entertainment LLC,Naiad Entertainment LLC,2014,3.99,89.3,262,10000,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']","['Strategy', 'Casual', 'RPG']",['Single-player']
259450,Drifter,Celsius Game Studios,Celsius Game Studios,2014,8.99,64.0,175,10000,"['Action', 'Indie', 'Simulation', 'Early Access']","['Early Access', 'Simulation', 'Indie']",['Single-player']
259510,Shufflepuck Cantina Deluxe,Agharta Studio,Agharta Studio,2013,7.19,84.7,490,150000,"['Action', 'Indie', 'Sports']","['Sports', 'Indie', 'Action']",['Single-player']
259550,Hero of the Kingdom,Lonely Troops,Lonely Troops,2013,4.79,92.5,3173,150000,"['Adventure', 'Casual', 'Indie', 'RPG']","['Casual', 'Adventure', 'Indie']",['Single-player']
259570,EDEN STAR,Flix Interactive,Flix Interactive,2015,14.99,75.4,852,35000,"['Action', 'Adventure', 'Indie', 'Strategy', 'Early Access']","['Early Access', 'Survival', 'Base-Building']","['Single-player', 'Multi-player', 'Co-op']"
259600,Finding Teddy,Storybird,LookAtMyGame;Plug In Digital,2013,5.99,82.8,856,150000,"['Adventure', 'Indie']","['Adventure', 'Indie', 'Point & Click']",['Single-player']
259620,3079 -- Block Action RPG,Phr00t's Software,Phr00t's Software,2013,3.99,50.0,462,75000,"['Action', 'Indie', 'RPG']","['RPG', 'Indie', 'Action']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer']"
259640,Guise Of The Wolf,FUN Creators,FUN Creators,2014,1.99,33.2,199,10000,"['Action', 'Adventure', 'Indie']","['Indie', 'Werewolves', 'Adventure']",['Single-player']
259660,Void Destroyer,Iteration 11,Iteration 11,2015,7.19,63.6,308,75000,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']","['Strategy', 'Simulation', 'Action']",['Single-player']
259680,Tales of Maj'Eyal,Netcore Games,Netcore Games,2013,4.99,95.4,2881,350000,"['Adventure', 'Indie', 'RPG']","['Rogue-like', 'RPG', 'Turn-Based']",['Single-player']
259720,Fading Hearts,Sakura River Interactive,Sakura River Interactive,2014,11.39,66.8,205,10000,"['Adventure', 'Indie', 'Simulation']","['Visual Novel', 'Anime', 'Indie']",['Single-player']
259740,Nightmares from the Deep: The Cursed Heart,Artifex Mundi,Artifex Mundi,2014,6.99,92.9,1183,150000,"['Adventure', 'Casual']","['Adventure', 'Hidden Object', 'Casual']",['Single-player']
259810,Home Sheep Home 2,Aardman Animations,Aardman Animations,2014,6.99,95.4,109,10000,"['Action', 'Adventure', 'Casual', 'Indie']","['Indie', 'Casual', 'Puzzle']",['Single-player']
259830,Wooden Sen'SeY,Upper Byte,Spawn Digital,2013,6.99,56.4,110,35000,"['Action', 'Indie']","['Action', 'Indie', 'Platformer']",['Single-player']
259870,OMG Zombies!,Laughing Jackal LTD,Ghostlight LTD,2014,3.99,80.3,335,35000,"['Action', 'Strategy']","['Zombies', 'Action', 'Strategy']",['Single-player']
259890,Agricultural Simulator: Historical Farming,Actalogic,United Independent Entertainment GmbH,2013,6.99,24.8,254,75000,['Simulation'],"['Simulation', 'Agriculture']",['Single-player']
259910,Farming Giant,Actalogic,Toplitz Productions,2013,1.69,21.5,219,35000,['Simulation'],"['Simulation', 'Agriculture']",['Single-player']
260130,Agarest: Generations of War Zero,Idea Factory,Ghostlight LTD,2014,14.99,75.6,328,75000,"['Adventure', 'RPG', 'Strategy']","['Anime', 'JRPG', 'RPG']",['Single-player']
260160,The Last Tinker™: City of Colors,Mimimi Productions,Daedalic Entertainment,2014,7.99,81.8,606,75000,"['Action', 'Adventure', 'Indie']","['Adventure', 'Indie', 'Action']",['Single-player']
260190,Marc Eckō's Getting Up: Contents Under Pressure,The Collective;General Arcade,Devolver Digital,2013,11.99,91.6,849,75000,"['Action', 'Adventure']","['Action', 'Adventure', 'Parkour']",['Single-player']
260210,Assassin’s Creed® Liberation HD,Ubisoft Sofia,Ubisoft,2014,16.99,57.7,1650,150000,"['Action', 'Adventure']","['Action', 'Open World', 'Female Protagonist']",['Single-player']
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,Ubisoft Montpellier,Ubisoft,2014,12.49,95.7,16359,350000,['Adventure'],"['Atmospheric', 'Historical', 'World War I']",['Single-player']
260250,Blood of the Werewolf,Scientifically Proven,Scientifically Proven,2013,1.59,60.7,578,75000,"['Action', 'Indie']","['Platformer', 'Werewolves', 'Action']",['Single-player']
